MgO,Al2O3,SiO2,P2O5,S,Cl,K2O,CaO,TiO2,V,MnO,Fe2O3,Ni,Cu,Zn,As,Rb,Sr,Y,Zr,Mo,Ag,Sn,Ba,W,Hg,Pb,Classification
0.615133333,0,40.43406667,0.165033333,0.100366667,0,0,27.83633333,0.025966667,0,2.951433333,8.361433333,0,0.0016,0,0.001366667,0,0.0012,0,0,0,0.002633333,0.018766667,0,0.0035,0,0.0027,altered limestone
0,3.227322021,59.15208083,0.158694982,0.103458607,0,0.076913705,22.28807387,0.040180155,0,0.703530623,14.17848514,0,0.00269077,0.002630304,0.006832743,0,0,0,0.001300035,0.001662836,0,0,0,0.053089806,0,0.003053571,intrusive rock
0.859033333,0.3433,28.01096667,0.353766667,9.4191,0,0,23.5832,0,0,0.441033333,34.01093333,0.0088,0.4915,0.009566667,0,0.000866667,0,0,0,0,0.007866667,0.055866667,0,0.072166667,0,0.033966667,ore 
5.6806,0,0,0.5214,0,0.0653,0,63.8669,0,0,0.0903,0.5216,0.0049,0.0024,0,0,0,0.0088,0.0015,0.0029,0,0,0,0,0,0,0,marble
3.128,0,0,0.3904,0.0207,0.038,0,51.6641,0.05,0,0.0552,0.3098,0,0,0,0,0,0.0141,0,0,0,0,0,0,0,0,0,marble
2.3454,0,0,0.451,0,0.0506,0,72.2702,0.0666,0,0.0382,0.1882,0.0053,0,0,0,0,0.0049,0,0.0046,0,0,0.0307,0,0,0,0,marble
2.2872,0,0,0.5061,0,0.0706,0,57.4599,0.032,0,0.0338,0.1601,0.0045,0,0,0,0,0.014,0,0,0,0,0,0,0,0,0,marble
3.2174,0.7017,6.7447,0.3817,0,0.094,0,64.0411,0.0159,0,0.0328,0.2451,0.0067,0,0,0,0,0.0093,0,0.005,0,0,0,0,0,0,0,marble
1.9675,0,0,0.3274,0.0426,0,0,43.1188,0.017,0,0.0178,0.1032,0.0027,0.0017,0,0,0,0.0176,0,0,0,0,0,0,0,0,0,marble
0,0,0,0.4858,0,0.0415,0,71.5284,0.043,0,0.0169,0.1159,0.0056,0.0023,0,0,0,0.0054,0,0.0038,0,0,0,0,0,0,0,marble
